Account name,ALNEX
Time zone,'+09:00
Downloaded on,2025/07/30 14:14
Sender type,Sender name,Date,Time,Message
Account,Unknown,2025/01/23,16:26:03,สวัสดีค่ะ คุณ Protehx ท่านสนใจสินค้าประเภทใดของ ALNEX คะ?
Account,Unknown,2025/01/23,16:26:03,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,PROTEHX,2025/01/23,16:26:22,ติดต่อคุณหนุ่ยครับ
Account,Unknown,2025/01/23,16:53:10,"สวัสดีครับคุณภาณุพงศ์ ผมหนุ่ยครับ
ขอแนบ QR Code สำหรับชำระค่าสำรวจ 3,000 บาทครับ"
Account,Unknown,2025/01/23,16:53:10,You sent a photo.
Account,Unknown,2025/01/23,16:54:46,"โดยรอบการสำรวจจะมี2ช่วงเวลา ได้แก่ 11:00 และ 14:00 ครับ
ช่วงสัปดาห์หน้าคุณภาณุพงศ์ สะดวกช่วงวันเวลาใดครับ"
User,PROTEHX,2025/01/23,16:56:56,โอเครครับ
User,PROTEHX,2025/01/23,16:58:40,วันและเวลาเดี๋ยวให้น้องมอสนัดกับผู้รับเหมาที่อยู่หน้างานแล้วให้มอสแจ้งไปนะครับ จะได้ให้ผู้รับเหมาช่วยดูตำแหน่งและจุดเดินไฟด้วยครับ
Account,Unknown,2025/01/23,17:00:19,รับทราบครับ
User,PROTEHX,2025/01/23,17:00:20,You sent a photo.
Account,Unknown,2025/01/23,17:02:31,"ขอบพระคุณครับ 
ผมขอแนบภาพสีมาตรฐานเพิ่มเติมเพื่อให้คุณภาณุพงศ์เลือกชมด้วยนะครับ"
Account,Unknown,2025/01/23,17:02:31,You sent a photo.
User,PROTEHX,2025/01/23,17:08:14,ที่คุยกับทีมออกแบบ ดูไว้เป็น Sahara Grey ครับ
Account,Unknown,2025/01/23,17:08:35,รับทราบครับ
Account,Unknown,2025/01/23,17:21:31,"คุณภาณุพงศ์ เบื้องต้นที่ผมรับทราบข้อมูล สนใจการติดตั้งงานกันสาดถูกต้องไหมครับ
ซึ่งต้องการงานประตูรั้วด้วยถูกต้องไหมครับ"
User,PROTEHX,2025/01/23,18:06:37,เป็นกันสาดอย่างเดียวครับ
Account,Unknown,2025/01/23,18:09:48,ที่แจ้งว่าเดินสายไฟ หมายถึงคุณภาณุพงศ์ต้องการไฟใต้กันสาดด้วยถูกต้องไหมครับ
User,PROTEHX,2025/01/23,18:22:02,ถูกต้องครับ
Account,Unknown,2025/01/24,15:26:21,"รับทราบครับ 
"
Account,Unknown,2025/01/27,18:14:38,"สวัสดีครับคุณภาณุพงศ์ 
ผมรบกวนขอใบภพ.20 ของ บริษัท วัน เจเค จำกัด หน่อยครับ

"
Account,Unknown,2025/01/27,18:15:15,ซึ่งวันเข้าสำรวจจะเป็นวันศุกร์ที่31/1/68 เวลา 13:00 น. ครับ
User,PROTEHX,2025/01/27,19:36:20,You sent a file.
Account,Unknown,2025/01/27,19:36:21,"สวัสดีค่ะ คุณ Protehx 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/01/27,19:36:22,"สวัสดีค่ะ คุณ {{contact.name}} 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,PROTEHX,2025/01/27,19:37:28,โอเครครับ วันศุกร์น้องมอสจะคอยประสานให้นะครับ
Account,Unknown,2025/01/27,19:37:29,"สวัสดีค่ะ คุณ {{contact.name}} 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/01/28,12:07:54,ขอบคุณครับ
Account,Unknown,2025/02/28,18:22:31,"สวัสดีครับ คุณภาณุพงศ์ ทีมงานได้จัดส่งใบเสนอราคาให้ในช่องทางอีเมลเรียบร้อยแล้วนะครับ
ผมขอแนบใบเสนอราคาให้ในช่องทางนี้ด้วยนะครับ"
Account,Unknown,2025/02/28,18:22:31,https://files.omoo.co/msg-content/15/81c219ea0ff30bd40f6e8852ce87b292db8684c89982a8257267f7f0420d1575.pdf
Account,Unknown,2025/02/28,18:22:31,"สวัสดีครับ คุณภาณุพงศ์ ทีมงานได้จัดส่งใบเสนอราคาให้ในช่องทางอีเมลเรียบร้อยแล้วนะครับ
ผมขอแนบใบเสนอราคาให้ในช่องทางนี้ด้วยนะครับ"
Account,Unknown,2025/02/28,18:22:31,https://files.omoo.co/msg-content/15/81c219ea0ff30bd40f6e8852ce87b292db8684c89982a8257267f7f0420d1575.pdf
User,PROTEHX,2025/02/28,18:23:40,ยินดีครับผม
Account,Unknown,2025/02/28,18:26:03,You sent a photo.
Account,Unknown,2025/02/28,18:26:03,You sent a photo.
Account,Unknown,2025/02/28,18:26:23,ซึ่งซี่ระแนงจะเป็นรูปแบบนี้ครับ
Account,Unknown,2025/04/18,11:41:36,สวัสดีครับคุณภาณุพงศ์
Account,Unknown,2025/04/18,11:46:07,"ตามที่คุณภาณุพงศ์แจ้งว่าหน้างานยังมีการรีโนเวท
แต่เนื่องด้วยการทำงานของ ALNEX การเขียนแบบและผลิตจะใช้เวลาประมาณ 45 วันทำการ
ผมจึงต้องขอแจ้งข้อมูลส่วนนี้ให้ทราบ เพื่อให้สามารถส่งมอบงานได้ตรงกับกำหนดการเข้าอยู่ของคุณภาณุพงศ์ครับ"
Account,Unknown,2025/04/18,11:46:07,You sent a photo.
User,PROTEHX,2025/04/18,18:40:30,โอเครครับ
User,PROTEHX,2025/04/18,18:41:00,รบกวนขอใบเสนอราคามัดจำหน่อยครับ
Account,Unknown,2025/04/18,18:45:06,สักครู่นะครับ
Account,Unknown,2025/04/18,18:46:41,https://files.omoo.co/msg-content/15/81c219ea0ff30bd40f6e8852ce87b292db8684c89982a8257267f7f0420d1575.pdf
Account,Unknown,2025/04/18,18:47:26,กันสาดระแนงรุ่น Duplex ขนาดกว้าง 12.634 x ยื่นยาว 2.600 เมตร ซี่ระแนง Deco ขนาด 35 x 50 มม. ระยะห่าง Gap 8 ซม. ครับ
