Account name,ALNEX
Time zone,'+09:00
Downloaded on,2025/07/30 14:14
Sender type,Sender name,Date,Time,Message
User,GGG GOOG,2025/06/04,20:58:49,สวัสดีคะ
Account,Unknown,2025/06/04,20:58:51,สวัสดีค่ะ คุณลูกค้าสนใจสินค้าประเภทใดของ ALNEX คะ?
Account,Unknown,2025/06/04,20:58:51,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,GGG GOOG,2025/06/04,20:59:08,สนใจประตูรั้วค่ะ ถ้าเปิดแล้วติดต่อกลับด้วยนะคะ
Account,Unknown,2025/06/04,20:59:09,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Mark,2025/06/05,12:11:16,สวัสดีคะ คุณผู้หญิง 
Account,Mark,2025/06/05,12:11:32,ALNEX ยินดีให้บริการคะ 
User,GGG GOOG,2025/06/24,11:39:33,สวัสดีคะ
User,GGG GOOG,2025/06/24,11:39:51,สนใจประตูรั้วคะ
User,GGG GOOG,2025/06/24,11:49:16,"รบกวนให้เซลติดต่อ หาพี่ ได้ไหมคะ
089 - 7459878"
Account,Mark,2025/06/24,11:57:25,ได้ค่ะ เดี๋ยวแอดมินแจ้งให้เซลติดต่อกลับนะคะ
User,GGG GOOG,2025/06/24,12:00:49,ขอบคุณมากคะ
Account,Jazzy🌸,2025/06/24,12:05:34,สวัสดีค่ะแจ๊สนะคะ ส่งแบบให้แจ๊สทางนี้ได้เลยนะคะ
User,GGG GOOG,2025/06/24,12:08:30,You sent a photo.
User,GGG GOOG,2025/06/24,12:08:55,สีเขียว คือ ที่เราจะทำประตู ที่จะเข้าบ้านคะ
User,GGG GOOG,2025/06/24,12:10:33,You sent a photo.
User,GGG GOOG,2025/06/24,12:13:35,You sent a photo.
User,GGG GOOG,2025/06/24,12:14:14,บ้านที่จะเข้าคือ หัวมุม ที่ทำสีแดงๆนะคะ
Account,Jazzy🌸,2025/06/24,12:27:56,จากที่ดูเบื้องต้นอันนี้อาจจะต้องเป็น ประตูบานเลื่อนโค้งค่ะ
Account,Jazzy🌸,2025/06/24,12:28:16,เพราะเป็นพื้นที่เอียงช่องเปิดเฉียงค่ะ
Account,Jazzy🌸,2025/06/24,12:29:02,ช่องเปิดประมาณ 5-6 ม.สูง 2.5ม.นะคะ
Account,Jazzy🌸,2025/06/24,12:36:23,You sent a photo.
Account,Jazzy🌸,2025/06/24,12:36:23,You sent a photo.
Account,Jazzy🌸,2025/06/24,12:36:24,You sent a photo.
Account,Jazzy🌸,2025/06/24,12:36:31,ตัวอย่างประตูบานโค้งค่ะ
User,GGG GOOG,2025/06/24,12:42:05,เราทำช่องบานเปิดให้แม่บ้าน เปิดออกไปได้ ไหมคะ
User,GGG GOOG,2025/06/24,12:42:11,จากประตูใหญ่ ของเรา
User,GGG GOOG,2025/06/24,12:42:45,ถ้าพี่ต้องการ นัดมาดูหน้างาน  ได้ไหมคะ
Account,Jazzy🌸,2025/06/24,12:43:35,สามารถทำประตูบานเปิดเพิ่มได้ค่ะ จะเพิ่มในบานหรือแยกบานจากบานเลื่อนก็ได้ค่ะ
Account,Jazzy🌸,2025/06/24,12:44:06,ทางเราจะมีเรื่องค่าเข้าสำรวจ 3000 บาทค่ะ ซึ่งจะหักลดตอนสั่งซื้อสินค้าค่ะ
User,GGG GOOG,2025/06/24,12:44:16,ได้คะ 
Account,Jazzy🌸,2025/06/24,12:44:44,แจ๊สอาจจะขอประเมินราคาโดยประมาณเพื่อจะได้ทราบงบคร่าวๆก่อนนะคะ
User,GGG GOOG,2025/06/24,12:44:57,ได้เลยคะ คุณแจ๊ส
User,GGG GOOG,2025/06/24,12:45:21,อลูมิเนียมมีให้เลือก หลายแบบไหมคะ
User,GGG GOOG,2025/06/24,12:45:35,หรือมีแบบเดียว หมายถึงทำได้หลาย ลาย ไหมคะ
Account,Jazzy🌸,2025/06/24,12:46:31,ถ้าลายมาตรฐานจะเป็นลายซี่ตรงค่ะ ราคาแตกต่างกันหรือว่าจะออกแบบซี่เองได้เหมือนกันค่ะ
User,GGG GOOG,2025/06/24,12:46:50,คุณแจ๊ส เสนอเป็นราคามาตราฐานมาก่อนได้คะ 
Account,Jazzy🌸,2025/06/24,12:47:02,You sent a photo.
Account,Jazzy🌸,2025/06/24,12:47:02,You sent a photo.
Account,Jazzy🌸,2025/06/24,12:47:12,ลายมาตรฐานค่ะ
User,GGG GOOG,2025/06/24,12:48:30,รับทราบคะ
User,GGG GOOG,2025/06/24,12:48:43,เสนอราคามาตราฐานมาก่อนได้เลยคะคุณแจ๊ส
Account,Jazzy🌸,2025/06/24,12:51:49,ได้ค่ะ
Account,Jazzy🌸,2025/06/24,13:00:48,"ประตูบานเลื่อนโค้ง ความกว้าง 6 ม. สูง 2.5 ม. (เพิ่มขาค้ำประคองบาน)
ราคารุ่นมาตรฐาน ซี่ 1""x2"" Gap 7.5 Cm. สีมาตรฐาน 
ราคาประมาณ 330,000 บาท 
*ราคาไม่รวมมอเตอร์
*ราคาไม่รวมประตูบานเล็กในบาน
มอเตอร์ราคาประมาณ 40000 บาทค่ะ"
Account,Jazzy🌸,2025/06/24,13:01:13,You sent a photo.
Account,Jazzy🌸,2025/06/24,13:02:31,สีมาตรฐานที่ทางเรามีให้เลือกค่ะ และมีสีลายไม้ ราคา+อีกประมาณ 20%ค่ะ
User,GGG GOOG,2025/06/24,13:57:54,Ok ka 
User,GGG GOOG,2025/06/24,13:58:11,ทำใบมัดจำ ดูหน้างานได้เลยนะคเ
Account,Khunakorn,2025/06/24,14:00:18,รับทราบค่ะ
Account,Khunakorn,2025/06/24,15:30:11,"แจ๊สรบกวนขอข้อมูลเพิ่มเติมดังนี้ค่ะ

1.ชื่อ-นามสกุล และที่อยู่ (ในนามบุคคล หรือชื่อบริษัท)
(เพื่อเปิดใบเสนอราคา ใบเสร็จรับเงิน และใบกำกับภาษี)
***ภายหลังการชำระเงินจะไม่สามารถเปลี่ยนแปลงชื่อในเอกสารภายหลังได้***

2.E-mail (เพื่อส่งใบเสนอราคา)

3.ที่อยู่ สำหรับการติดตั้งสินค้า และขอ Location แบบ Google Map

4.ขอรูปภาพหน้าบ้านและรูปภาพบริเวณที่ให้ติดตั้งสินค้า

5.ชื่อ-นามสกุล และเบอร์ติดต่อ (สำหรับติดต่อตอนสำรวจหน้างาน)"
User,GGG GOOG,2025/06/24,15:55:16,สักครู่นะคะ เด่วพี่ส่งให้คะ
Account,Khunakorn,2025/06/24,16:17:15,ค่ะ
User,GGG GOOG,2025/06/24,23:14:00,You sent a photo.
Account,Unknown,2025/06/24,23:14:03,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,GGG GOOG,2025/06/24,23:14:05,ชื่อเปิดบิล
Account,Unknown,2025/06/24,23:14:07,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,GGG GOOG,2025/06/24,23:14:29,Whiteblue-go@hotmail.com
Account,Unknown,2025/06/24,23:14:31,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,GGG GOOG,2025/06/24,23:16:58,https://maps.app.goo.gl/csmxz9jH7yeSxBpT8?g_st=al
Account,Unknown,2025/06/24,23:16:59,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,GGG GOOG,2025/06/24,23:17:23,หน้างาน คุณโก้ 089-7459878
Account,Unknown,2025/06/24,23:17:25,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Mark,2025/06/25,11:35:43,ขอบคุณค่ะ
User,GGG GOOG,2025/06/26,15:44:17,ขอนัดดูหน้างาน วันเสาร์ที่5 นะคะ
Account,Jazzy🌸,2025/06/26,16:25:00,You sent a photo.
Account,Jazzy🌸,2025/06/26,16:25:33,รบกวนโอนค่าสำรวจ 3000 บาท ผ่านคิวอาร์โค้ดนี้ได้เลยค่ะ
User,GGG GOOG,2025/06/26,16:44:44,You sent a photo.
Account,Jazzy🌸,2025/06/26,16:57:13,เป็นวันที่ 5/7/68 เวลา 11.00 นะคะ
Account,Jazzy🌸,2025/06/26,16:57:24,ขอบพระคุณมากค่ะ
User,GGG GOOG,2025/06/26,17:25:33,Ok
Account,Jazzy🌸,2025/06/26,17:36:07,You sent a sticker.
Account,Jazzy🌸,2025/06/26,17:38:24,จะรบกวนขอรูปที่หน้างานไว้ให้ด้วยได้ไหมคะเพื่อแจ้งกับทางทีมสำรวจค่ะ
Account,Jazzy🌸,2025/06/27,19:13:06,รบกวนขอ ภพ20 ด้วยนะคะคุณโก้
User,GGG GOOG,2025/06/27,22:14:05,ทางบริษัท ไม่ได้จด ภพ 20คะ
Account,Unknown,2025/06/27,22:14:07,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,GGG GOOG,2025/06/27,22:14:15,เพราะเป็นธุรกิจบริการ
Account,Unknown,2025/06/27,22:14:17,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Cream Alnex,2025/06/28,10:55:38,ขอเป็นหนังสือรับรองได้ค่ะ
User,GGG GOOG,2025/06/28,11:09:51,รับทราบคะ
Account,Cream Alnex,2025/06/28,11:10:36,You sent a sticker.
User,GGG GOOG,2025/06/28,11:48:41,You sent a file.
Account,Cream Alnex,2025/06/28,12:12:40,ขอบคุณสำหรับข้อมูลนะคะ 
Account,Cream Alnex,2025/06/28,12:12:58,เดี๋ยวประสานงานต่อให้ค่ะ 
User,GGG GOOG,2025/06/28,13:18:25,You sent a sticker.
Account,Cream Alnex,2025/06/28,13:32:47,You sent a sticker.
Account,Jazzy🌸,2025/06/30,13:50:15,รบกวนสอบถามเพิ่มเติมเพื่อยืนยันค่ะ ให้เปิดนิลเป็นในนามของสำนักงานใหญ่หรือสาขาที่กรุงเทพนะคะ
User,GGG GOOG,2025/06/30,14:31:46,สำนักงาน สาขาคะ
Account,WanzerD,2025/06/30,15:23:29,รับทราบค่ะ
