Account name,ALNEX
Time zone,'+09:00
Downloaded on,2025/07/30 14:16
Sender type,Sender name,Date,Time,Message
Account,Unknown,2024/07/31,19:30:47,สวัสดีค่ะ คุณ Thitima42 ♾️ ท่านสนใจสินค้าประเภทใดของ ALNEX คะ?
Account,Unknown,2024/07/31,19:30:47,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
Account,Unknown,2024/08/01,12:33:21,สินค้า ALNEX
Account,Unknown,2024/08/01,12:33:21,this is flex message
Account,Unknown,2024/08/01,12:33:21,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
Account,Unknown,2024/10/01,14:21:03,"สวัสดีครับ ผมหนุ่ยครับ
คุณผู้หญิงสนใจสินค้าประเภทใดครับ
สามารถสอบถามข้อมูลเพิ่มเติมได้เลยครับ"
User,Thitima42 ♾️,2025/01/09,12:46:57,สินค้า ALNEX
Account,Unknown,2025/01/09,12:46:57,this is flex message
Account,Unknown,2025/01/09,12:46:58,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/01/09,12:47:06,GATE
Account,Unknown,2025/01/09,12:47:07,this is flex message
Account,Unknown,2025/01/09,12:47:08,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
Account,Unknown,2025/01/09,13:22:14,สามารถแจ้งขนาดและรูปแบบที่ต้องการติดตั้งได้เลยครับ เดียวผมช่วยประเมินราคาและแจ้งให้ทราบครับ
User,Thitima42 ♾️,2025/02/25,14:04:12,Test1
Account,Unknown,2025/02/25,14:11:20,Hello
User,Thitima42 ♾️,2025/02/26,12:17:00,Test2
User,Thitima42 ♾️,2025/02/26,12:30:37,Test2222
Account,Unknown,2025/02/26,12:30:46,😉
User,Thitima42 ♾️,2025/02/26,12:48:03,Hhhhh
Account,Unknown,2025/02/26,12:48:56,้hayyyyy
User,Thitima42 ♾️,2025/02/26,12:49:00,Hfhfghfhh
Account,Unknown,2025/02/26,12:49:29,"ขอทราบข้อมูลเพิ่มเติมเพื่อประเมินราคาเบื้องต้นค่ะ

1. สถานที่ติดตั้ง อยู่ที่จังหวัดใด

2. รบกวนขอรูปภาพหน้าบ้าน หรือรูปภาพบริเวณที่ให้ติดตั้งสินค้า

3. ขอขนาดความกว้าง และความสูงของประตูรั้วกี่เมตร"
User,Thitima42 ♾️,2025/02/28,18:56:00,Test1
User,Thitima42 ♾️,2025/02/28,19:10:01,Hhhh
Account,Unknown,2025/02/28,19:15:34,"สวัสดีค่ะ คุณ {{contact.name}} 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,Thitima42 ♾️,2025/02/28,19:20:57,Hiiiiii
Account,Unknown,2025/02/28,19:22:07,"สวัสดีค่ะ คุณ {{contact.name}} 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/02/28,19:28:16,"สวัสดีค่ะ คุณ {{contact.name}} 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/03/05,19:45:58,สวัสดีคะ่
Account,Unknown,2025/03/05,19:46:12,😀
Account,Unknown,2025/03/05,19:46:19,เทสการส่งข้อความ
User,Thitima42 ♾️,2025/03/05,19:46:33,ได้รับปกติ
Account,Unknown,2025/03/05,19:46:34,"สวัสดีค่ะ คุณ {{contact.name}} 

ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.

ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,Thitima42 ♾️,2025/04/12,05:04:24,Hi
Account,Unknown,2025/05/16,20:03:25,Test card msg by omoo
Account,Unknown,2025/05/16,20:03:50,carousel
Account,Unknown,2025/05/16,20:04:28,carousel
Account,Unknown,2025/05/16,20:04:57,carousel
Account,Unknown,2025/05/16,20:05:22,carousel
Account,Unknown,2025/05/16,20:13:15,A
Account,Unknown,2025/05/16,20:15:52,ประเมินราคา
User,Thitima42 ♾️,2025/05/16,20:16:07,สินค้า ALNEX
Account,Unknown,2025/05/16,20:16:08,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/05/16,20:16:08,carousel
Account,Unknown,2025/05/16,20:16:09,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/05/16,20:16:36,Vdhfhhh
Account,Unknown,2025/05/16,20:16:38,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/05/16,20:22:37,carousel
Account,Unknown,2025/05/16,20:27:18,carousel
Account,Unknown,2025/05/16,20:31:29,A
Account,Unknown,2025/05/16,20:31:35,carousel
Account,Unknown,2025/05/16,20:31:43,P
Account,Unknown,2025/05/16,20:43:41,carousel
Account,Unknown,2025/05/16,20:47:28,carousel
Account,Unknown,2025/05/16,20:51:11,carousel
User,Thitima42 ♾️,2025/06/13,16:01:01,ขออนุญาตเทส การ setting card ค่ะ
User,Thitima42 ♾️,2025/06/13,16:01:05,BATTENS & FAÇADE Product
Account,Unknown,2025/06/13,16:01:06,carousel
User,Thitima42 ♾️,2025/06/13,16:01:15,ประเมินราคา
Account,Unknown,2025/06/13,16:01:15,"เจ้าหน้าที่ฝ่ายขายจะเป็นผู้ประเมินราคา และจะติดต่อหาท่านในวันทำการจันทร์ - เสาร์ 8.30-17.00 น.

กรุณาเตรียมข้อมูล

1. สินค้าที่ท่านต้องการ

2. รูปภาพหน้างานที่จะติดตั้ง พร้อมขนาดกว้าง ยาว โดยประมาณ

3. แบบก่อสร้าง (ถ้ามี)"
