_id,__v,content,erxesApiId,integrationId,recipientId,senderId,timestamp
1280722,0,,1280722,62,1657275881,U68a38468c72bbd8a66a2fafddd494874,2024-09-24 08:44:16.845822
1286208,0,,1286208,62,1657275881,U95d9bf76b054156a2ac45fcee3ed3fdc,2024-09-26 01:40:55.890056
2188,0,,2188,62,1657275881,U27d139f4357a86117d7e7f9cfe69ad8f,2022-07-05 08:05:59.843907
233010,0,,233010,62,1657275881,U267ff950577d306177aa7d02a61d5ec8,2023-09-27 06:39:44.830083
2195,0,,2195,62,1657275881,U941b1cec1e18ceffcc30e2efec183633,2022-07-05 08:49:35.700227
2198,0,,2198,62,1657275881,U1a5b4ff136a046f899c179e32ed7ee64,2022-07-05 09:42:29.376799
2207,0,ยืนมากกว่า 3 เมตรโดยไม่ต้องมีเสาได้ไหมครับ,2207,62,1657275881,Ufbb8d2f103daf4f89323b07d4d334a83,2022-07-05 10:27:53.182476
2244,0,,2244,62,1657275881,U7b0741e0dfa4db79ed7d9a8d27352f7d,2022-07-06 02:26:56.292997
156350,0,สวัสดีครับ,156350,62,1657275881,Uc1e224db857e2b4486a1a9e26b206ef3,2023-06-20 09:07:11.785623
2300,0,,2300,62,1657275881,U5dddb0ab06d1471ce9c6beaf4bcf0a2a,2022-07-06 11:50:07.965273
2322,0,,2322,62,1657275881,U7dd51c1aed4bd157de119600e4a98539,2022-07-07 02:43:31.764438
156363,0,,156363,62,1657275881,Ubc023985863fbd9366369f69460fb93a,2023-06-20 09:33:11.240162
2329,0,,2329,62,1657275881,Ud0430c9b7f7dc24ccdc83a55221cb920,2022-07-07 03:29:51.874971
2379,0,,2379,62,1657275881,U246ae8a9b0069b5bffa28fac1ce444a6,2022-07-07 12:32:34.356834
2402,0,,2402,62,1657275881,Ucdb760ab6440cf4e483cd2b0ef6b93fb,2022-07-08 04:18:09.583951
2422,0,,2422,62,1657275881,U4b9c950e37477327484d85d5b9323f34,2022-07-08 09:01:09.966591
2450,0,,2450,62,1657275881,U730f9661ec1fa40df4a4027150e9d4fb,2022-07-09 03:03:50.215492
2457,0,เดี๋ยวผมแจ้งอีกทีครับ,2457,62,1657275881,Ue204cdb152b9280588fb6edc14c28f13,2022-07-09 09:46:58.639584
2531,0,,2531,62,1657275881,U3eabf6885ffb6aea5dc02755f8eda8e9,2022-07-10 09:09:17.271494
2541,0,,2541,62,1657275881,Ua4368ab0e6f107cbdada2b27b2705000,2022-07-10 13:01:08.847239
2551,0,,2551,62,1657275881,U5020c5fb5893958326b9a3e2a4048714,2022-07-10 18:23:46.367067
2554,0,,2554,62,1657275881,U383ccf0e6e945b65f5c1c50b771f2cfd,2022-07-11 01:39:06.289062
2556,0,,2556,62,1657275881,U58ddcb277b73daa493556d4f3cd1cdc5,2022-07-11 02:18:08.249148
2579,0,,2579,62,1657275881,U36d770294b77e437b40e56a3a7c5a342,2022-07-11 06:19:36.968781
2627,0,,2627,62,1657275881,Ubc4b59be35e7fa0993a179d0b9316fdc,2022-07-12 03:45:18.757176
2638,0,,2638,62,1657275881,U99a6258cae7113a6cc97211cc3f07a84,2022-07-12 06:57:24.187155
